N = 100, l = 10, Steps = 100000
g,T,P,tau,Potential Mean,Potential Error,Correlation Mean,Correlation Error
1.6,1.0,6,0.16666666666666666,-204.04240374916077,0.4987743083301384,52.89775337568665,0.23816974927141324
0.6,1.0,1,1.0,-60.55409682017517,0.041550482914199854,33.103764814636236,0.05307638566497448
1.4,1.0,2,0.5,-159.60512427090455,0.18158302394447168,43.130344165939334,0.09798306054597701
1.8,1.0,1,1.0,-309.5419270349884,0.09777281740433966,81.08665235646058,0.04536664334843658
0.8,1.0,6,0.16666666666666666,-56.467270545883174,0.16221844082855535,20.107249129684448,0.14524694859669127
1.2,1.0,1,1.0,-186.60983701138304,0.23672210451203898,68.64083197053527,0.15502264732243204
0.2,1.0,6,0.16666666666666666,-3.57933283277893,0.03677971619905535,3.7489306257781987,0.09622290006567509
0.2,1.0,1,1.0,-7.133578007659912,0.009223527532158965,7.783548486938477,0.029809486582373167
1.2,1.0,6,0.16666666666666666,-122.71946217393494,0.3159967361862087,36.57359005804443,0.19650510877738528
2.0,1.0,2,0.5,-280.6482014005585,0.39609909537313726,60.82377750213624,0.15441122973252067
0.8,1.0,1,1.0,-101.02715300338745,0.08256644992886789,48.212808826293944,0.07695946636104531
1.8,1.0,6,0.16666666666666666,-240.47231691987608,0.5801093259331039,56.92435406063843,0.250680984561601
0.4,1.0,2,0.5,-14.204174381912232,0.026471731623883978,7.927019304367065,0.044330163074117294
0.6,1.0,6,0.16666666666666666,-32.267354279067995,0.1067801970542208,13.571710639938354,0.13233487247970696
1.6,1.0,1,1.0,-270.2291142654114,0.14748374094027153,78.77557115483093,0.07509921627903907
1.0,1.0,2,0.5,-86.30274603894044,0.0989819983393,27.228269339279173,0.07184352183632477
1.6,1.0,2,0.5,-199.32115300892642,0.2676528764886363,49.99883236305237,0.12507127011838562
1.0,1.0,1,1.0,-143.9965964761963,0.1341602426965845,60.26956559562682,0.1030373507942641
2.0,1.0,1,1.0,-348.4875533649445,0.05224418040695534,82.78896726116943,0.021828615384666544
0.2,1.0,2,0.5,-3.5610839104766847,0.013874517945987985,3.7559285735473633,0.046161498989433364
0.4,1.0,1,1.0,-27.970879772171017,0.02210032978199459,18.678260485061642,0.03891686028330112
1.4,1.0,6,0.16666666666666666,-162.00188300007628,0.42587833830298427,44.92430963827515,0.23116561684682466
0.8,1.0,2,0.5,-56.027176799148556,0.0619997786126898,19.691781235702514,0.05563761230459092
1.8,1.0,2,0.5,-240.42578862046813,0.3290562813400176,56.09467259918213,0.13626104701821354
1.4,1.0,1,1.0,-228.77734675700378,0.24592875884289256,74.56539290641784,0.14224457501365173
0.4,1.0,6,0.16666666666666666,-14.246912709228516,0.067232586409298,8.059623808074953,0.1249891249878722
1.2,1.0,2,0.5,-121.05183122337341,0.1427255803884087,35.15290543481446,0.08437423335828677
2.0,1.0,6,0.16666666666666666,-279.56601586595156,0.4755082041556593,61.280779983566276,0.1845181628972223
1.0,1.0,6,0.16666666666666666,-87.31466970449831,0.2414489444026129,28.07086928500366,0.1797378272424726
0.6,1.0,2,0.5,-31.904708555786133,0.04452842425420169,13.297117520050048,0.053569745412081565
