N = 3, P = 1, g = 2.000000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-8.000000,2.000000
2,-7.312499,1.579063
3,-7.127246,1.781812
4,-8.000000,2.000000
5,-5.435408,0.698220
6,-6.957433,2.000000
7,-4.766319,1.191580
8,-6.968925,1.623490
9,-6.980416,1.246980
10,-1.695360,1.246980
11,-7.304955,1.826239
12,-7.312499,1.579063
13,-6.855549,0.988831
14,-7.304955,1.826239
15,-7.648530,1.781812
16,-5.400978,1.826239
17,-7.304955,1.826239
18,-6.648333,1.911146
19,-7.304955,1.826239
20,-5.435408,0.698220
21,-5.882897,0.149460
22,-7.127246,1.781812
23,-7.312499,1.579063
24,-6.730682,0.730682
25,-6.316250,1.579063
26,-5.435408,0.698220
27,-6.968925,1.623490
28,-5.283655,1.320914
29,-4.332468,-1.400969
30,-7.316447,1.449729
31,-7.316447,1.449729
32,-7.127246,1.781812
33,-7.304955,1.826239
34,-7.312499,1.579063
35,-7.822291,1.955573
36,-6.316250,1.579063
37,-7.648530,1.781812
38,-7.316447,1.449729
39,-7.648530,1.781812
40,-7.312499,1.579063
41,-6.431657,0.698220
42,-7.127246,1.781812
43,-6.316250,1.579063
44,-6.957433,2.000000
45,-7.304955,1.826239
46,-6.652281,1.781812
47,-7.312499,1.579063
48,-6.670296,1.191580
49,-6.957433,2.000000
50,-6.304759,1.955573
51,-4.987918,1.246980
52,-5.882897,0.149460
53,-7.652478,1.652478
54,-6.609910,1.652478
55,-7.644582,1.911146
56,-6.666349,1.320914
57,-7.316447,1.449729
58,-7.648530,1.781812
59,-7.822291,1.955573
60,-5.338017,0.988831
61,-4.669971,1.579063
62,-7.644582,1.911146
63,-7.304955,1.826239
64,-7.304955,1.826239
65,-5.652084,1.911146
66,-6.316250,1.579063
67,-7.316447,1.449729
68,-6.306790,0.440071
69,-4.332468,-1.400969
70,-7.644582,1.911146
71,-5.767491,1.030303
72,-5.798914,1.449729
73,-7.316447,1.449729
74,-7.127246,1.781812
75,-6.980416,1.246980
76,-6.670296,1.191580
77,-4.860678,0.123490
78,-6.855549,0.988831
79,-4.699741,0.603718
80,-6.666349,1.320914
81,-6.855549,0.988831
82,-5.586231,1.623490
83,-6.316250,1.579063
84,-6.795163,1.449729
85,-7.304955,1.826239
86,-5.210776,-0.134659
87,-4.326396,1.623490
88,-4.326396,1.623490
89,-5.688115,0.730682
90,-4.766319,1.191580
91,-7.304955,1.826239
92,-6.306790,0.440071
93,-5.435408,0.698220
94,-4.766319,1.191580
95,-6.795163,1.449729
96,-6.670296,1.191580
97,-6.306790,0.440071
98,-6.957433,2.000000
99,-6.968925,1.623490
100,-7.644582,1.911146
101,-7.316447,1.449729
102,-7.652478,1.652478
103,-5.748501,1.652478
104,-7.644582,1.911146
105,-5.882897,0.149460
106,-6.322774,1.365341
107,-7.301008,1.955573
108,-5.586231,1.623490
109,-7.304955,1.826239
110,-6.957433,2.000000
111,-7.127246,1.781812
112,-6.316250,1.579063
113,-7.301008,1.955573
114,-5.688115,0.730682
115,-4.766319,1.191580
116,-7.644582,1.911146
117,-7.301008,1.955573
118,-6.431657,0.698220
119,-6.246404,0.900969
120,-6.316250,1.579063
121,-7.304955,1.826239
122,-7.644582,1.911146
123,-6.957433,2.000000
124,-7.648530,1.781812
125,-7.301008,1.955573
126,-7.648530,1.781812
127,-7.127246,1.781812
128,-7.648530,1.781812
129,-6.648333,1.911146
130,-6.316250,1.579063
131,-6.670296,1.191580
132,-7.644582,1.911146
133,-6.670296,1.191580
134,-7.127246,1.781812
135,-7.652478,1.652478
136,-6.795163,1.449729
137,-7.648530,1.781812
138,-7.312499,1.579063
139,-7.644582,1.911146
140,-6.431657,0.698220
141,-6.670296,1.191580
142,-6.795163,1.449729
143,-7.822291,1.955573
144,-6.968925,1.623490
145,-7.301008,1.955573
146,-6.304759,1.955573
147,-7.822291,1.955573
148,-6.316250,1.579063
149,-6.306790,0.440071
150,-6.316250,1.579063
151,-5.586231,1.623490
152,-7.304955,1.826239
153,-6.968925,1.623490
154,-4.766319,1.191580
155,-4.922065,1.955573
156,-7.312499,1.579063
157,-7.648530,1.781812
158,-5.798914,1.449729
159,-5.283655,1.320914
160,-6.316250,1.579063
161,-8.000000,2.000000
162,-4.673919,1.449729
163,-4.987918,1.246980
164,-8.000000,2.000000
165,-6.980416,1.246980
166,-7.304955,1.826239
167,-7.822291,1.955573
168,-7.648530,1.781812
169,-7.648530,1.781812
170,-6.648333,1.911146
171,-4.484718,1.781812
172,-7.648530,1.781812
173,-6.648333,1.911146
174,-6.609910,1.652478
175,-7.652478,1.652478
176,-6.670296,1.191580
177,-6.304759,1.955573
178,-3.176495,1.365341
179,-5.338017,0.988831
180,-6.968925,1.623490
181,-7.301008,1.955573
182,-5.423916,1.074730
183,-3.673722,1.579063
184,-6.316250,1.579063
185,-5.882897,0.149460
186,-6.855549,0.988831
187,-7.312499,1.579063
188,-6.316250,1.579063
189,-7.822291,1.955573
190,-7.652478,1.652478
191,-6.670296,1.191580
192,-7.127246,1.781812
193,-7.304955,1.826239
194,-7.822291,1.955573
195,-6.666349,1.320914
196,-7.127246,1.781812
197,-5.748501,1.652478
198,-4.863710,0.900969
199,-6.670296,1.191580
200,-7.301008,1.955573
201,-6.855549,0.988831
202,-3.667926,0.093187
203,-7.312499,1.579063
204,-7.652478,1.652478
205,-6.246404,0.900969
206,-7.304955,1.826239
207,-7.127246,1.781812
208,-7.644582,1.911146
209,-5.748501,1.652478
210,-7.127246,1.781812
211,-6.316250,1.579063
212,-4.112383,-1.233052
213,-6.609910,1.652478
214,-7.822291,1.955573
215,-5.621536,0.142820
216,-7.127246,1.781812
217,-6.316250,1.579063
218,-7.301008,1.955573
219,-7.648530,1.781812
220,-5.798914,1.449729
221,-6.334266,0.988831
222,-7.127246,1.781812
223,-6.316250,1.579063
